Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
5/28/1982,Indonesia,Aerospatiale 330G,Aerospatiale 330G PumaPK PDU,Off Natuma Island Indonesia,Pelita Air Service,0,10,10
6/1/1982,South,Fairchild,Fairchild C 12356,Near Songnam-si South,Force Air Korea South of Republic - KoreaMilitary,0,53,53
6/8/1982,Brazil,Boeing,Boeing B 727,Near Pacatuba Brazil,VASP,0,137,137
6/12/1982,Brazil,Fairchild,Fairchild  Hiller FH,Tabatinga Brazil,TABA,0,44,44
6/22/1982,India,Boeing,Boeing B 707,Bombay India,India Air,0,17,111
6/24/1982,Indonesia,Boeing,Boeing B 747G,Mount Galunggung Indonesia,Airways British,0,0,257
6/28/1982,USSRAeroflot,Yakovlev,Yakovlev YAK 42CCCP,Southern Belarus USSRAeroflot,Aeroflot,0,132,132
7/3/1982,Gabon,Cessna 404,Cessna 404 TitanTR LYQ,Oganda Gabon,Gabon Affaires Air,0,12,12
7/6/1982,Russia,Ilyushin,Ilyushin IL 62MCCCP,Near Moscow Russia,Aeroflot,0,90,90
7/9/1982,Louisiana,Boeing,Boeing B 727,Kenner Louisiana,Pan American World Airways,8,145,145
7/11/1982,Philippines,Hawker Siddeley,Hawker Siddeley HS 748,Jolo Philippines,Philippine Air Lines,0,4,30
7/23/1982,California,Bell,Bell UH 1B Huey HelicopterN87701,Castaic California,Helicopter Western,3,0,1
8/11/1982,Pacific Ocean,Boeing,Boeing B 747,Pacific OceanPan American World Airways,Pan American World Airways,0,1,285
8/12/1982,Myanmar,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300XY,Mindat Myanmar,Airways Burma,0,8,8
8/14/1982,Nicaragua,Arava,Arava 201223,Near Managua Nicaragua,Force Air Nicaraguan - Military,0,20,20
8/14/1982,Georgia,Let 410UVP Turbojet / Tupolev,Let 410UVP Turbojet / Tupolev TU 134V67191 / 65836,Sukhumi Georgia,USSRAeroflot / Aeroflot,0,11,11
9/1/1982,Ecuador,de Havilland Canada,de Havilland Canada DHC 4A CaribouHC,Near Valladolid Ecuador,Condor Aerolineas,0,44,44
9/4/1982,Brazil,Gates Learjet,Gates Learjet 25BPT JBQ,Rio Branco Brazil,Cia Brasiliera de Tratores,0,10,10
9/11/1982,West Germany,Boeing Vertol,Boeing Vertol CH 47C (helicopter)74,Near Mannheim West Germany,U.S. Army - Military,0,46,46
9/13/1982,Spain,McDonnell Douglas,McDonnell Douglas DC 10,Near Malaga Spain,Spantax,0,50,394
9/29/1982,Luxembourg,Ilyushin,Ilyushin IL 62MCCCP,Luxembourg Luxembourg,Aeroflot,0,7,77
11/17/1982,Taiwan,Bell,Bell 212B 2311,Off TaiwanFar Eastern Air Transport,Far Eastern Air Transport,0,15,15
11/29/1982,Colombia,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 310HK,Quetame Colombia,Colombia de Centrales Aerolineas,0,22,22
11/29/1982,Angola,Antonov,Antonov AN 26D2,Lubango Angola,TAAG Angola Airlines,0,15,15
12/7/1982,Colorado,Swearingen SA.227AC Metro,Swearingen SA.227AC Metro IIIN30093,Near Pueblo Colorado,Pioneer Airlines,0,2,2
12/9/1982,Chile,Fairchild,Fairchild F 27JCC,La Serena Chile,Chile Aeronor,0,46,46
12/9/1982,Nicaragua,Mil,Mil Mi 8 (helicopter)265,Near San Andres de Bocay Nicaragua,Force Air Nicaraguan - Military,0,84,88
12/23/1982,Russia,Antonov,Antonov AN 26CCCP,Rostov-on-Don Russia,Aeroflot,0,16,16
12/24/1982,China,Ilyushin,Ilyushin IL 18BB,Guangzhou China,CAAC,0,25,69
1/9/1983,Minnesota46826/109,Convair,Convair 580 11AN844H,Brainerd Minnesota46826/109,N/A,0,1,33
1/11/1983,Michigan,McDonnell Douglas,McDonnell Douglas DC 8,Detroit Michigan,United Air Lines,0,3,3
1/16/1983,Turkey,Boeing,Boeing B 727,Ankara Turkey,Turkish Airlines (THY),0,47,67
2/13/1983,North Carolina,Lockheed,Lockheed C 130H Hercules74,Fayetteville North Carolina,U.S. Air Force - Military,0,6,6
3/9/1983,Brazil,Bell,Bell 212PT HJN,Off Macae Brazil,Aereo Taxi Aeroleo,0,11,11
3/10/1983,Afghanistan,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300YA,Near Shach Goan Afghanistan,Bakhtar Afghan Airlines,0,19,19
3/11/1983,Venezuela,McDonnell Douglas,McDonnell Douglas DC 9,Barquisimeto VenezuelaAvensa,Avensa,0,23,50
3/30/1983,U.S.A.,Learjet,Learjet 25N51CA,New Jerseyark New Jersey,Central Airlines,0,2,2
4/7/1983,Alaska,Britten,Britten  Norman BN,Selawik Alaska,Munz Northern Airlines,0,2,3
4/16/1983,Sudan,Hawker Siddeley,Hawker Siddeley HS 748,Near Khartoum Sudan,Liberia Air,9,8,9
4/19/1983,Russia,Yakovlev,Yakovlev YAK 40CCCP,Leninakan Russia,Aeroflot,0,21,21
